director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,Genre,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,imdb_score
Brad Bird,443.0,130.0,663.0,604.0,2000.0,93417865.0,Action,Tomorrowland ,128306,5046,2.0,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497.0,English,190000000.0,2015.0,638.0,2.2,37000,High
Robert Zemeckis,188.0,100.0,0.0,267.0,15000.0,665426.0,Adventure,The Polar Express ,120798,16264,0.0,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444.0,English,165000000.0,2004.0,726.0,2.35,10000,High
Roland Emmerich,286.0,120.0,776.0,535.0,890.0,102315545.0,Action,Independence Day: Resurgence ,58137,3233,0.0,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520.0,English,165000000.0,2016.0,812.0,2.35,67000,High
Jonathan Mostow,280.0,109.0,84.0,191.0,648.0,150350192.0,Action,Terminator 3: Rise of the Machines ,305340,1769,0.0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676.0,English,200000000.0,2003.0,284.0,2.35,0,High
Rob Cohen,187.0,106.0,357.0,4000.0,23000.0,144512310.0,Action,The Fast and the Furious ,272223,45327,2.0,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988.0,English,38000000.0,2001.0,14000.0,2.35,14000,High
Francis Lawrence,389.0,137.0,508.0,14000.0,34000.0,281666058.0,Adventure,The Hunger Games: Mockingjay - Part 2 ,166137,81385,1.0,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383.0,English,160000000.0,2015.0,22000.0,2.35,38000,High
Jon Turteltaub,235.0,109.0,226.0,370.0,12000.0,63143812.0,Action,The Sorcerer's Apprentice ,124185,13388,0.0,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238.0,English,150000000.0,2010.0,418.0,2.35,11000,High
Wolfgang Petersen,231.0,98.0,249.0,702.0,87000.0,60655503.0,Action,Poseidon ,82380,92456,0.0,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629.0,English,160000000.0,2006.0,2000.0,2.35,0,High
James Bobin,218.0,113.0,33.0,11000.0,40000.0,76846624.0,Adventure,Alice Through the Looking Glass ,21352,80806,1.0,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131.0,English,170000000.0,2016.0,25000.0,1.85,30000,High
Chris Miller,227.0,93.0,50.0,692.0,3000.0,320706665.0,Adventure,Shrek the Third ,211971,4705,2.0,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326.0,English,160000000.0,2007.0,795.0,1.85,0,High
Duncan Jones,275.0,123.0,0.0,648.0,3000.0,46978995.0,Action,Warcraft ,111609,5505,0.0,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781.0,English,160000000.0,2016.0,716.0,2.35,89000,High
Alan Taylor,474.0,126.0,230.0,2000.0,24000.0,89732035.0,Action,Terminator Genisys ,188457,38873,2.0,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867.0,English,155000000.0,2015.0,10000.0,2.35,82000,High
Michael Apted,228.0,113.0,150.0,59.0,531.0,104383624.0,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,4.0,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227.0,English,155000000.0,2010.0,82.0,1.78,11000,High
Michael Bay,191.0,184.0,0.0,691.0,3000.0,198539855.0,Action,Pearl Harbor ,254111,5401,0.0,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999.0,English,140000000.0,2001.0,961.0,2.35,0,High
Michael Bay,396.0,144.0,0.0,581.0,662.0,318759914.0,Action,Transformers ,513158,2333,0.0,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782.0,English,150000000.0,2007.0,599.0,2.35,8000,High
Oliver Stone,248.0,206.0,0.0,591.0,12000.0,34293771.0,Action,Alexander ,138863,24598,3.0,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390.0,English,155000000.0,2004.0,11000.0,2.35,0,High
Peter Berg,318.0,102.0,532.0,979.0,10000.0,227946274.0,Action,Hancock ,343648,21584,0.0,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590.0,English,150000000.0,2008.0,9000.0,2.35,0,High
Francis Lawrence,323.0,104.0,508.0,558.0,10000.0,256386216.0,Drama,I Am Legend ,530870,13076,0.0,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413.0,English,150000000.0,2007.0,1000.0,2.35,11000,High
Tim Burton,276.0,115.0,13000.0,588.0,40000.0,206456431.0,Adventure,Charlie and the Chocolate Factory ,320284,57844,3.0,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361.0,English,150000000.0,2005.0,16000.0,1.85,0,High
Eric Darnell,167.0,89.0,35.0,436.0,1000.0,179982968.0,Action,Madagascar: Escape 2 Africa ,146019,3285,0.0,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119.0,English,150000000.0,2008.0,851.0,1.85,0,High
Shawn Levy,185.0,105.0,189.0,1000.0,49000.0,177243721.0,Adventure,Night at the Museum: Battle of the Smithsonian ,130272,54039,2.0,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209.0,English,150000000.0,2009.0,3000.0,2.35,2000,High
Gavin Hood,350.0,119.0,151.0,2000.0,20000.0,179883016.0,Action,X-Men Origins: Wolverine ,361924,40054,0.0,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641.0,English,150000000.0,2009.0,16000.0,2.35,0,High
Lana Wachowski,245.0,129.0,0.0,233.0,309.0,139259759.0,Action,The Matrix Revolutions ,364948,1062,0.0,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,2121.0,English,150000000.0,2003.0,269.0,2.35,0,High
Lana Wachowski,275.0,138.0,0.0,30.0,234.0,281492479.0,Action,The Matrix Reloaded ,421818,534,0.0,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,2789.0,English,150000000.0,2003.0,198.0,2.35,0,High
Alan Taylor,486.0,112.0,230.0,12000.0,26000.0,206360018.0,Action,Thor: The Dark World ,414070,59803,3.0,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532.0,English,170000000.0,2013.0,20000.0,2.35,63000,High
Ron Howard,298.0,146.0,2000.0,294.0,15000.0,133375846.0,Mystery,Angels & Demons ,207839,16948,2.0,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435.0,English,150000000.0,2009.0,745.0,2.35,0,High
Kenneth Branagh,516.0,115.0,0.0,12000.0,26000.0,181015141.0,Action,Thor ,536314,60059,1.0,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,738.0,English,150000000.0,2011.0,20000.0,2.35,63000,High
Byron Howard,225.0,96.0,59.0,699.0,17000.0,114053579.0,Adventure,Bolt ,146766,20007,0.0,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,178.0,English,150000000.0,2008.0,759.0,1.85,0,High
Hoyt Yeatman,145.0,88.0,12.0,182.0,730.0,119420252.0,Action,G-Force ,33042,2217,0.0,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,90.0,English,150000000.0,2009.0,607.0,2.35,0,Medium
Jonathan Liebesman,310.0,99.0,473.0,502.0,14000.0,83640426.0,Action,Wrath of the Titans ,152826,16184,0.0,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,253.0,English,150000000.0,2012.0,897.0,1.85,19000,High
Tim Burton,526.0,113.0,13000.0,16000.0,40000.0,79711678.0,Comedy,Dark Shadows ,199039,80849,7.0,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479.0,English,100000000.0,2012.0,17000.0,1.85,82000,High
Christopher McQuarrie,465.0,131.0,188.0,641.0,10000.0,195000874.0,Action,Mission: Impossible - Rogue Nation ,232187,21840,0.0,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,440.0,English,150000000.0,2015.0,10000.0,2.35,47000,High
Joe Johnston,357.0,119.0,394.0,162.0,12000.0,61937495.0,Drama,The Wolfman ,89442,13071,0.0,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,432.0,English,150000000.0,2010.0,490.0,1.85,0,High
David Yates,248.0,110.0,282.0,103.0,11000.0,124051759.0,Action,The Legend of Tarzan ,42372,21175,2.0,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239.0,English,180000000.0,2016.0,10000.0,2.35,29000,High
Steve Hickner,194.0,91.0,58.0,826.0,2000.0,126597121.0,Adventure,Bee Movie ,105902,6576,0.0,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,206.0,English,150000000.0,2007.0,852.0,1.85,0,High
Jennifer Yuh Nelson,284.0,90.0,90.0,15.0,11000.0,165230261.0,Action,Kung Fu Panda 2 ,182718,21015,0.0,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,209.0,English,150000000.0,2011.0,10000.0,2.35,20000,High
M. Night Shyamalan,280.0,103.0,0.0,346.0,1000.0,131564731.0,Action,The Last Airbender ,118951,2857,0.0,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,1382.0,English,150000000.0,2010.0,756.0,2.35,18000,Medium
J.J. Abrams,310.0,124.0,14000.0,979.0,22000.0,133382309.0,Action,Mission: Impossible III ,256695,34817,0.0,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,871.0,English,150000000.0,2006.0,10000.0,2.35,0,High
Roland Emmerich,339.0,131.0,776.0,256.0,17000.0,73103784.0,Action,White House Down ,164238,18204,2.0,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,434.0,English,150000000.0,2013.0,551.0,2.35,33000,High
Simon Wells,132.0,88.0,25.0,433.0,921.0,21379315.0,Action,Mars Needs Moms ,17590,2652,0.0,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,112.0,English,150000000.0,2011.0,562.0,2.35,0,Medium
David Bowers,135.0,85.0,42.0,586.0,20000.0,64459316.0,Adventure,Flushed Away ,85086,35161,0.0,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,122.0,English,149000000.0,2006.0,14000.0,1.85,0,High
Joe Wright,256.0,111.0,456.0,394.0,20000.0,34964818.0,Adventure,Pan ,39956,21393,4.0,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186.0,English,150000000.0,2015.0,548.0,2.35,24000,High
Rob Minkoff,196.0,92.0,50.0,517.0,3000.0,111505642.0,Adventure,Mr. Peabody & Sherman ,47900,5810,2.0,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,130.0,English,145000000.0,2014.0,1000.0,1.85,11000,High
Wolfgang Petersen,220.0,196.0,249.0,844.0,11000.0,133228348.0,Adventure,Troy ,381672,17944,2.0,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,1694.0,English,175000000.0,2004.0,5000.0,2.35,0,High
Eric Darnell,211.0,93.0,35.0,436.0,851.0,216366733.0,Adventure,Madagascar 3: Europe's Most Wanted ,119213,2444,0.0,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,154.0,English,145000000.0,2012.0,770.0,1.85,17000,High
Lee Tamahori,264.0,133.0,93.0,746.0,769.0,160201106.0,Action,Die Another Day ,169914,2538,0.0,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,1185.0,English,142000000.0,2002.0,766.0,2.35,0,High
